name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,creative_role 8,creative_role 9,creative_role 10,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,comic_titles 13,comic_titles 14,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image
Bernyce Talley,Female,,,,,,,,,,,,,,,,,,Nubian Queen,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Gallo,Male,Latin American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Murray,Male,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://en.wikipedia.org/wiki/Bill_Murray_(cartoonist),,,
Billy Graham,Male,African American,,,,,1935,1999,Writer, Penciler, Inker, Art Director,,,,,,,"Luke Cage: Hero for Hire, Jungle Action, Sabre,",,,,,,,,,,,,,,Mainstream, Indie,,,,,,,,,,
Billy Tan,Male,Asian American,,,,,,,Penciler,,,,,,,,,,21: The Saga Begins,,,,,,,,,,,,,,Mainstream,,,,,,,,http://www.billytanart.com/,,,
Bizhan Khodabandeh,Male,Half-Persian,,,,,1981,,Creator,,,,,,,,,,The Little Red Fish, The Little Black Fish, Richmond Monuments, Outdoor/Indoor, Finding Time, Kitty Meow Meow, and various applied comics.,,,,,,,,Indie,,,,,,,,http://www.mendedarrow.com,http://mendedarrow.tumblr.com,https://twitter.com/mendedarrow,
Blaise Larmee,Male,,,,,,1985,,Artist,,,,,,,,,,Young Lions,2001, Nudes,,,,,,,,,,,,Indie,,,,,,,,http://blaiselarmee.com,http://en.wikipedia.org/wiki/Blaise_Larmee,,
Bob A. Fett,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Yung,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.geist.com/topics/yung-brad/,,,
Brandon Easton,Male,African American,,,,,,,Writer,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://foolscrusade.blogspot.com/,,,
Brandon Meged,Male,Hispanic,,,,,1986,,Painter, Cartoonist, Writer,,,,,,,,Sour Tide,,,,,,,,,,,,,,Underground, Outsider,,,,,,,http://sourtide.tumblr.com/,,,
Brandon Thomas,Male,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://fictionhouse.wordpress.com/,,,
